Company,Agent ID,Agent Name,Call ID,Customer ID,Call Start Time,Call End Time,Call Duration (seconds),Timestamp,Call Status,Call Type,Language,Region,Queue Name,Resolution Status,Hold Time (seconds),Talk Time (seconds),Wrap-up Time (seconds)
DeltaFinance,D401,Jack Ryan,CALL-100000,CUST-6051,2026-07-15 14:20:38,2026-07-15 14:23:14,156,2026-07-15 14:20:38,Answered,Inbound,Hindi,West,Account Queries,Resolved,9,126,21
EcoEnergy,E501,Molly Hooper,CALL-100001,CUST-2267,2026-07-12 12:43:24,2026-07-12 12:46:07,163,2026-07-12 12:43:24,Answered,Inbound,French,East,General Sales,Resolved,2,155,6
AeroCorp,A103,Charlie Brown,CALL-100002,CUST-1775,2026-07-05 12:20:08,2026-07-05 12:23:23,195,2026-07-05 12:20:08,Answered,Outbound,French,West,Tech Support,Resolved,50,143,2
CloudTech,C302,Hannah Abbott,CALL-100003,CUST-5297,2026-07-17 08:39:03,2026-07-17 08:43:14,251,2026-07-17 08:39:03,Answered,Inbound,French,South,Billing,Escalated,11,236,4
DeltaFinance,D402,Karen Page,CALL-100004,CUST-8208,2026-07-16 08:13:22,2026-07-16 08:17:21,239,2026-07-16 08:13:22,Answered,Outbound,French,West,Tech Support,Escalated,27,195,17
EcoEnergy,Unknown,Unknown,CALL-100005,CUST-1391,2026-07-13 05:06:08,2026-07-13 05:06:36,28,2026-07-13 05:06:08,Missed,Inbound,Spanish,East,Tech Support,Unresolved,0,0,0
CloudTech,C303,Ian Malcolm,CALL-100006,CUST-9154,2026-07-01 12:41:38,2026-07-01 12:46:55,317,2026-07-01 12:41:38,Answered,Outbound,Spanish,Central,Account Queries,Resolved,28,278,11
CloudTech,Unknown,Unknown,CALL-100007,CUST-6134,2026-07-03 06:13:02,2026-07-03 06:13:20,18,2026-07-03 06:13:02,Missed,Inbound,English,East,General Sales,Unresolved,0,0,0
BioHealth,B202,Evan Wright,CALL-100008,CUST-4157,2026-07-13 07:31:38,2026-07-13 07:35:27,229,2026-07-13 07:31:38,Answered,Inbound,Spanish,Central,General Sales,Resolved,17,197,15
DeltaFinance,Unknown,Unknown,CALL-100009,CUST-6592,2026-07-10 15:56:52,2026-07-10 15:57:08,16,2026-07-10 15:56:52,Missed,Outbound,Spanish,West,Account Queries,Unresolved,0,0,0
AeroCorp,A101,Alice Smith,CALL-100010,CUST-6232,2026-07-20 08:02:38,2026-07-20 08:05:08,150,2026-07-20 08:02:38,Answered,Inbound,English,East,Account Queries,Resolved,9,118,23
AeroCorp,A102,Bob Johnson,CALL-100011,CUST-6791,2026-07-20 07:38:01,2026-07-20 07:42:13,252,2026-07-20 07:38:01,Answered,Inbound,German,South,Account Queries,Resolved,91,153,8
DeltaFinance,D403,Leo Fitz,CALL-100012,CUST-5282,2026-07-11 09:16:37,2026-07-11 09:20:01,204,2026-07-11 09:16:37,Answered,Inbound,English,North,Account Queries,Resolved,15,174,15
EcoEnergy,E503,Oliver Queen,CALL-100013,CUST-6534,2026-07-20 08:35:18,2026-07-20 08:39:25,247,2026-07-20 08:35:18,Answered,Outbound,English,North,Billing,Resolved,6,205,36
BioHealth,B203,Fiona Gallagher,CALL-100014,CUST-8400,2026-07-07 13:25:47,2026-07-07 13:26:23,36,2026-07-07 13:25:47,Answered,Inbound,Spanish,Central,General Sales,Unresolved,4,31,1
CloudTech,C303,Ian Malcolm,CALL-100015,CUST-5973,2026-07-16 15:19:23,2026-07-16 15:23:51,268,2026-07-16 15:19:23,Answered,Outbound,German,North,Billing,Escalated,28,231,9
BioHealth,B202,Evan Wright,CALL-100016,CUST-5555,2026-07-03 13:40:35,2026-07-03 13:45:54,319,2026-07-03 13:40:35,Answered,Inbound,English,East,Account Queries,Resolved,5,287,27
CloudTech,C303,Ian Malcolm,CALL-100017,CUST-8683,2026-07-14 12:37:44,2026-07-14 12:42:32,288,2026-07-14 12:37:44,Answered,Outbound,German,West,Account Queries,Unresolved,8,258,22
CloudTech,C301,George Clark,CALL-100018,CUST-6088,2026-07-17 23:29:28,2026-07-17 23:32:28,180,2026-07-17 23:29:28,Answered,Outbound,Spanish,Central,Account Queries,Resolved,20,99,61
DeltaFinance,D403,Leo Fitz,CALL-100019,CUST-2409,2026-07-21 07:32:02,2026-07-21 07:36:22,260,2026-07-21 07:32:02,Answered,Inbound,Spanish,South,Billing,Resolved,41,217,2
BioHealth,B201,Diana Prince,CALL-100020,CUST-3950,2026-07-08 13:42:53,2026-07-08 13:48:35,342,2026-07-08 13:42:53,Answered,Inbound,French,Central,Billing,Unresolved,24,285,33
AeroCorp,A101,Alice Smith,CALL-100021,CUST-7457,2026-07-20 13:45:15,2026-07-20 13:47:03,108,2026-07-20 13:45:15,Answered,Outbound,German,South,Billing,Resolved,0,86,22
BioHealth,B202,Evan Wright,CALL-100022,CUST-1876,2026-07-17 04:05:14,2026-07-17 04:10:54,340,2026-07-17 04:05:14,Answered,Inbound,French,Central,Billing,Resolved,11,300,29
DeltaFinance,D402,Karen Page,CALL-100023,CUST-9308,2026-07-15 13:39:51,2026-07-15 13:43:13,202,2026-07-15 13:39:51,Answered,Outbound,German,South,Billing,Unresolved,18,173,11
AeroCorp,A101,Alice Smith,CALL-100024,CUST-8004,2026-07-01 07:00:46,2026-07-01 07:03:55,189,2026-07-01 07:00:46,Answered,Inbound,German,Central,Billing,Resolved,18,150,21
CloudTech,C302,Hannah Abbott,CALL-100025,CUST-3849,2026-07-16 06:21:56,2026-07-16 06:25:46,230,2026-07-16 06:21:56,Answered,Inbound,Hindi,Central,Billing,Resolved,1,221,8
DeltaFinance,Unknown,Unknown,CALL-100026,CUST-7303,2026-07-10 12:57:31,2026-07-10 12:57:39,8,2026-07-10 12:57:31,Missed,Inbound,English,South,Account Queries,Unresolved,0,0,0
